patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2009-12-18,0.0229576,0.0000406,0.0002521,0.0008802,0.0155137,-0.0161935,600
SP500,2001-03-22,0.0271748,0.0022537,0.0011451,0.0043884,0.0301409,-0.0256567,600
SP500,2002-03-22,-0.0018803,0.0011864,0.0002580,0.0016664,0.0173335,-0.0152917,600
SP500,2000-01-25,-0.0005319,0.0022354,0.0004307,0.0029295,0.0218772,-0.0188883,600
SP500,2006-08-17,-0.0010944,0.0011286,0.0002352,0.0022433,0.0146208,-0.0145519,600
SP500,2011-09-30,0.0212476,0.0017502,0.0004885,0.0024672,0.0227793,-0.0206492,600
SP500,2010-10-28,0.0314924,0.0010759,0.0002342,0.0031038,0.0141996,-0.0168574,600
SP500,2007-02-14,0.0007421,0.0006976,0.0002543,0.0022192,0.0142328,-0.0177572,600
SP500,2002-08-08,0.0273783,0.0021886,0.0008313,0.0046365,0.0265030,-0.0255311,600
SP500,2005-03-31,0.0089363,0.0020632,0.0003162,0.0029409,0.0176298,-0.0158692,600
SP500,2004-08-20,0.0085765,0.0011367,0.0002755,0.0023359,0.0149977,-0.0149407,600
SP500,2002-05-24,-0.0398036,0.0010294,0.0003420,0.0025144,0.0176943,-0.0177920,600
SP500,2000-09-25,-0.0019458,0.0016340,0.0004718,0.0007983,0.0228424,-0.0191743,600
SP500,2010-02-08,0.0360827,0.0034460,0.0004580,0.0039512,0.0238494,-0.0179750,600
SP500,2007-09-24,0.0193118,-0.0020491,0.0003032,0.0000344,0.0126162,-0.0202937,600
SP500,2000-11-13,-0.0063940,0.0023419,0.0006373,0.0020492,0.0264238,-0.0200710,600
SP500,2006-05-25,0.0120514,0.0017804,0.0004949,0.0021877,0.0223851,-0.0191743,600
SP500,2003-10-20,-0.0129705,0.0008421,0.0002193,0.0020834,0.0140264,-0.0138081,600
SP500,2007-05-21,-0.0045833,0.0015625,0.0002224,0.0038876,0.0149533,-0.0150820,600
SP500,2000-04-04,0.0039204,0.0013827,0.0004216,0.0012332,0.0209449,-0.0191743,600
SP500,2003-11-24,0.0138203,0.0035827,0.0004295,0.0041262,0.0227793,-0.0168799,600
SP500,2006-05-02,0.0090847,0.0017769,0.0002019,0.0027036,0.0151827,-0.0134758,600
SP500,2006-09-26,-0.0016762,0.0015645,0.0001922,0.0025131,0.0134315,-0.0129746,600
SP500,2006-11-22,-0.0038831,0.0011545,0.0001982,0.0034111,0.0135862,-0.0150820,600
SP500,2006-10-27,-0.0094675,0.0009517,0.0002182,0.0027274,0.0140311,-0.0149064,600
SP500,2000-07-28,0.0303122,0.0016561,0.0004524,0.0008991,0.0238904,-0.0193335,600
SP500,2006-12-06,0.0002194,0.0014036,0.0002284,0.0039425,0.0144157,-0.0149933,600
SP500,2002-05-16,-0.0010472,0.0009973,0.0003214,0.0025644,0.0175067,-0.0175750,600
SP500,2010-12-30,0.0126959,0.0001516,0.0002232,0.0015625,0.0136972,-0.0159194,600
SP500,2010-11-15,0.0000751,0.0022388,0.0003315,0.0033269,0.0186889,-0.0170479,600
SP500,2003-02-18,-0.0148031,0.0022590,0.0004125,0.0041839,0.0193095,-0.0185520,600
SP500,2010-07-21,0.0341627,0.0027330,0.0004363,0.0028911,0.0246376,-0.0174454,600
SP500,2011-03-31,0.0057926,0.0007720,0.0002530,0.0031095,0.0135537,-0.0158011,600
SP500,2004-11-30,0.0027687,0.0022115,0.0002597,0.0027146,0.0182961,-0.0145716,600
SP500,2002-01-16,0.0040619,-0.0002966,0.0004072,-0.0009151,0.0184790,-0.0201144,600
SP500,2007-03-26,-0.0090087,-0.0003738,0.0003232,0.0013104,0.0145122,-0.0189096,600
SP500,2006-11-21,-0.0023739,0.0013992,0.0001967,0.0037679,0.0141337,-0.0147486,600
SP500,2004-06-10,-0.0012758,0.0020437,0.0002127,0.0029670,0.0150301,-0.0135221,600
SP500,2003-04-09,0.0160741,0.0007874,0.0003746,0.0013458,0.0196028,-0.0187886,600
SP500,2006-04-11,0.0181569,0.0009298,0.0002880,0.0009317,0.0179721,-0.0157298,600
SP500,2010-10-21,0.0029824,0.0005571,0.0002073,0.0023658,0.0126681,-0.0139095,600
SP500,2007-01-05,0.0149109,0.0011701,0.0002397,0.0020865,0.0149935,-0.0152782,600
SP500,2004-09-10,0.0041195,0.0022941,0.0002014,0.0039703,0.0148127,-0.0147486,600
SP500,2005-01-12,-0.0103477,0.0026819,0.0003041,0.0036326,0.0196896,-0.0163934,600
